id,title,genres,averageRating,numVotes,releaseYear
tt0061287,"The Prisoner","Drama, Mystery, Sci-Fi",8.5,15400,1967
tt0098825,"House of Cards",Drama,8.5,15298,1990
tt0934320,"Summer Heights High","Comedy, Drama, Family",8.5,15272,2007
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,15085,2005
tt22185582,Sixer,"Drama, Sport",8.5,14155,2022
tt27867155,"Mr Bates vs. The Post Office","Biography, Drama",8.5,13063,2024
tt0315008,"Great Teacher Onizuka","Animation, Comedy, Drama",8.5,12260,1999
tt0161952,"Saint Seiya: Knights of the Zodiac","Action, Adventure, Animation",8.5,11596,1986
tt12369754,Staged,"Comedy, Drama",8.5,10774,2020
tt0062550,"The Bugs Bunny/Road Runner Hour","Animation, Comedy",8.5,10362,1968
tt11052470,"Move to Heaven",Drama,8.5,10356,2021
tt2301351,"RuPaul's Drag Race All Stars","Game-Show, Reality-TV",8.5,10205,2012
tt5332206,Signal,"Crime, Drama, Fantasy",8.5,10064,2016
tt1632701,Suits,"Comedy, Drama",8.4,500550,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,498874,2005
tt2467372,"Brooklyn Nine-Nine","Comedy, Crime",8.4,381928,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,274536,2001
tt12637874,Fallout,"Action, Adventure, Drama",8.4,274474,2024
tt5675620,"The Punisher","Action, Crime, Drama",8.4,274213,2017
tt5834204,"The Handmaid's Tale","Drama, Sci-Fi, Thriller",8.4,265868,2017
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,261650,2008
tt3920596,"Big Little Lies","Crime, Drama, Mystery",8.4,231643,2017
tt7221388,"Cobra Kai","Action, Comedy, Drama",8.4,216669,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,206145,2019
tt0285331,24,"Action, Crime, Drama",8.4,199877,2001
tt10155688,"Mare of Easttown","Crime, Drama, Mystery",8.4,198268,2021
tt9253284,Andor,"Action, Adventure, Drama",8.4,179504,2022
tt0387199,Entourage,"Comedy, Drama",8.4,178903,2004
tt2401256,"The Night Of","Crime, Drama, Mystery",8.4,178172,2016
tt7657124,"The Heroes","Animation, Drama, History",8.4,168751,2008
tt8398600,"After Life","Comedy, Drama",8.4,157757,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,157096,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,137858,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,131380,2013
tt2017109,Banshee,"Action, Crime, Drama",8.4,131004,2013
tt0458290,"Star Wars: The Clone Wars","Action, Adventure, Animation",8.4,126934,2008
tt2149175,"The Americans","Crime, Drama, Mystery",8.4,114938,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,113067,2006
tt0118480,"Stargate SG-1","Action, Adventure, Drama",8.4,103500,1997
tt2788432,"American Crime Story","Biography, Crime, Drama",8.4,100172,2016
tt9059760,"Normal People","Drama, Romance",8.4,99290,2020
tt1220617,"The Inbetweeners",Comedy,8.4,96450,2008
tt0060028,"Star Trek","Action, Adventure, Sci-Fi",8.4,95318,1966
tt6473300,Mirzapur,"Crime, Drama, Thriller",8.4,88155,2018
